iter	Passed	Remaining
337	838	1642
338	841	1639
339	842	1636
340	844	1632
341	847	1629
342	850	1628
343	853	1627
344	855	1623
345	857	1620
346	860	1618
347	862	1615
348	865	1615
349	868	1612
350	869	1607
351	871	1604
352	873	1600
353	877	1600
354	881	1602
355	884	1599
356	886	1596
357	887	1592
358	889	1588
359	892	1586
360	896	1587
361	899	1584
362	901	1581
363	902	1577
364	906	1576
365	908	1574
366	911	1572
367	914	1569
368	915	1566
369	917	1562
370	920	1561
371	923	1559
372	936	1573
373	938	1570
374	941	1568
375	943	1565
376	945	1561
377	946	1557
378	948	1554
379	951	1552
380	953	1548
381	954	1544
382	956	1541
383	958	1537
384	960	1533
385	961	1529
386	963	1526
387	965	1523
388	967	1519
389	969	1515
390	970	1511
391	972	1508
392	973	1504
393	975	1500
394	976	1496
395	979	1493
396	981	1490
397	983	1487
398	984	1483
399	986	1480
400	988	1477
401	990	1474
402	993	1472
403	997	1471
404	1000	1469
405	1002	1467
406	1005	1464
407	1007	1461
408	1009	1458
409	1011	1455
410	1014	1453
411	1016	1450
412	1018	1448
413	1021	1445
414	1022	1441
415	1025	1439
416	1027	1436
417	1030	1434
418	1032	1431
419	1034	1428
420	1036	1425
421	1037	1421
422	1040	1419
423	1042	1416
424	1045	1414
425	1047	1410
426	1048	1407
427	1050	1404
428	1052	1401
429	1054	1398
430	1056	1395
431	1059	1393
432	1061	1390
433	1063	1386
434	1065	1383
435	1067	1381
436	1070	1378
437	1072	1376
438	1074	1373
439	1077	1370
440	1079	1368
441	1082	1366
442	1084	1363
443	1087	1361
444	1089	1358
445	1091	1355
446	1093	1352
447	1095	1349
448	1097	1346
449	1099	1343
450	1101	1341
451	1103	1338
452	1105	1335
453	1107	1331
454	1108	1328
455	1110	1325
456	1112	1322
457	1115	1319
458	1117	1317
459	1119	1314
460	1122	1312
461	1124	1308
462	1125	1305
463	1128	1303
464	1130	1301
465	1132	1298
466	1134	1295
467	1136	1292
468	1138	1289
469	1140	1286
470	1144	1285
471	1146	1282
472	1148	1279
473	1150	1276
474	1152	1273
475	1153	1270
476	1155	1267
477	1158	1264
478	1160	1262
479	1163	1260
480	1165	1257
481	1166	1254
482	1168	1250
483	1170	1247
484	1173	1245
485	1175	1242
486	1177	1239
487	1178	1236
488	1180	1233
489	1182	1230
490	1184	1227
491	1186	1225
492	1188	1222
493	1190	1219
494	1192	1216
495	1194	1213
496	1195	1210
497	1197	1207
498	1199	1204
499	1201	1201
500	1203	1199
501	1205	1196
502	1207	1193
503	1209	1190
504	1211	1187
505	1213	1184
506	1215	1181
507	1217	1179
508	1219	1176
509	1221	1173
510	1223	1170
511	1225	1168
512	1227	1165
513	1229	1162
514	1231	1159
515	1233	1157
516	1235	1154
517	1237	1151
518	1239	1148
519	1241	1145
520	1242	1142
521	1247	1142
522	1249	1139
523	1251	1137
524	1253	1134
525	1255	1131
526	1257	1128
527	1260	1126
528	1262	1124
529	1264	1121
530	1266	1118
531	1267	1115
532	1269	1112
533	1271	1109
534	1273	1106
535	1275	1104
536	1277	1101
537	1279	1098
538	1281	1095
539	1283	1093
540	1285	1090
541	1287	1087
542	1289	1085
543	1292	1083
544	1294	1080
545	1296	1077
546	1298	1075
547	1300	1072
548	1302	1069
549	1304	1067
550	1306	1064
551	1308	1062
552	1310	1059
553	1312	1056
554	1314	1053
555	1316	1051
556	1318	1048
557	1320	1046
558	1322	1043
559	1324	1040
560	1326	1037
561	1328	1035
562	1330	1032
563	1331	1029
564	1334	1027
565	1336	1025
566	1338	1022
567	1340	1019
568	1342	1016
569	1344	1014
570	1346	1011
571	1348	1009
572	1350	1006
573	1353	1004
574	1355	1001
575	1357	998
576	1358	996
577	1360	993
578	1362	990
579	1365	988
580	1367	986
581	1370	984
582	1372	981
583	1374	979
584	1376	976
585	1378	974
586	1381	971
587	1382	969
588	1384	966
589	1386	963
590	1388	960
591	1390	958
592	1392	955
593	1394	953
594	1396	950
595	1398	948
596	1400	945
597	1402	942
598	1404	940
599	1406	937
600	1408	935
601	1410	932
602	1412	930
603	1414	927
604	1416	924
605	1418	922
606	1420	919
607	1422	917
608	1425	915
609	1427	912
610	1429	909
611	1430	907
612	1432	904
613	1434	902
614	1437	899
615	1439	897
616	1441	894
617	1443	892
618	1444	889
619	1446	886
620	1448	884
621	1450	881
622	1453	879
623	1455	876
624	1456	874
625	1458	871
626	1460	868
627	1462	866
628	1464	863
629	1467	861
630	1469	859
631	1471	856
632	1473	854
633	1475	851
634	1477	849
635	1479	846
636	1481	844
637	1483	841
638	1485	839
639	1487	836
640	1489	834
641	1491	831
642	1493	829
643	1495	826
644	1497	824
645	1499	821
646	1501	819
647	1503	816
648	1505	814
649	1507	811
650	1511	810
651	1513	807
652	1515	805
653	1517	802
654	1519	800
655	1521	797
656	1523	795
657	1525	793
658	1527	790
659	1529	788
660	1531	785
661	1533	782
662	1535	780
663	1538	778
664	1541	776
665	1543	773
666	1545	771
667	1547	769
668	1549	766
669	1551	764
670	1553	761
671	1556	759
672	1558	757
673	1560	754
674	1562	752
675	1564	749
676	1566	747
677	1569	745
678	1571	742
679	1573	740
680	1575	737
681	1577	735
682	1578	732
683	1581	730
684	1584	728
685	1586	726
686	1588	723
687	1590	721
688	1591	718
689	1593	716
690	1595	713
691	1600	712
692	1602	709
693	1603	707
694	1605	704
695	1607	702
696	1609	699
697	1613	698
698	1615	695
699	1617	693
700	1619	690
701	1621	688
702	1622	685
703	1624	683
704	1627	680
705	1629	678
706	1630	675
707	1632	673
708	1634	670
709	1635	668
710	1638	665
711	1640	663
712	1642	661
713	1644	658
714	1646	656
715	1647	653
716	1649	651
717	1651	648
718	1653	646
719	1655	643
720	1657	641
721	1659	639
722	1661	636
723	1663	634
724	1664	631
725	1666	629
726	1668	626
727	1671	624
728	1673	621
729	1674	619
730	1676	616
731	1678	614
732	1679	611
733	1681	609
734	1683	607
735	1687	605
736	1688	602
737	1690	600
738	1692	597
739	1693	595
740	1695	592
741	1697	590
742	1698	587
743	1701	585
744	1703	583
745	1705	580
746	1706	578
747	1708	575
748	1710	573
749	1712	570
750	1714	568
751	1716	566
752	1718	563
753	1719	561
754	1721	558
755	1723	556
756	1725	553
757	1726	551
758	1728	548
759	1731	546
760	1733	544
761	1735	542
762	1737	539
763	1739	537
764	1741	534
765	1744	532
766	1746	530
767	1748	528
768	1750	525
769	1752	523
770	1754	521
771	1756	518
772	1758	516
773	1760	514
774	1762	511
775	1764	509
776	1766	507
777	1768	504
778	1770	502
779	1774	500
780	1776	498
781	1778	495
782	1779	493
783	1781	490
784	1783	488
785	1785	486
786	1788	484
787	1790	481
788	1792	479
789	1794	476
790	1796	474
791	1798	472
792	1800	469
793	1803	467
794	1805	465
795	1807	463
796	1809	460
797	1811	458
798	1813	456
799	1815	453
800	1817	451
801	1819	449
802	1821	446
803	1823	444
804	1825	442
805	1826	439
806	1829	437
807	1830	435
808	1833	432
809	1834	430
810	1836	428
811	1838	425
812	1839	423
813	1841	420
814	1843	418
815	1845	416
816	1848	413
817	1849	411
818	1851	409
819	1853	406
820	1855	404
821	1856	402
822	1858	399
823	1859	397
824	1862	394
825	1863	392
826	1865	390
827	1867	387
828	1868	385
829	1870	383
830	1871	380
831	1873	378
832	1875	375
833	1878	373
834	1879	371
835	1881	369
836	1882	366
837	1884	364
838	1885	361
839	1887	359
840	1889	357
841	1891	354
842	1893	352
843	1895	350
844	1897	348
845	1899	345
846	1900	343
847	1902	341
848	1904	338
849	1906	336
850	1908	334
851	1910	331
852	1912	329
853	1914	327
854	1916	325
855	1918	322
856	1922	320
857	1924	318
858	1926	316
859	1928	313
860	1930	311
861	1932	309
862	1934	307
863	1937	304
864	1939	302
865	1941	300
866	1943	298
867	1945	295
868	1947	293
869	1951	291
870	1953	289
871	1954	286
872	1957	284
873	1959	282
874	1961	280
875	1964	278
876	1966	275
877	1968	273
878	1971	271
879	1973	269
880	1975	266
881	1977	264
882	1981	262
883	1983	260
884	1986	258
885	1989	255
886	1991	253
887	1994	251
888	1997	249
889	1999	247
890	2001	244
891	2003	242
892	2005	240
893	2008	238
894	2011	235
895	2013	233
896	2016	231
897	2018	229
898	2020	226
899	2022	224
900	2027	222
901	2030	220
902	2032	218
903	2034	216
904	2036	213
905	2039	211
906	2042	209
907	2044	207
908	2046	204
909	2048	202
910	2051	200
911	2056	198
912	2058	196
913	2060	193
914	2062	191
915	2066	189
916	2069	187
917	2072	185
918	2074	182
919	2076	180
920	2078	178
921	2081	176
922	2083	173
923	2086	171
924	2088	169
925	2090	167
926	2093	164
927	2096	162
928	2099	160
929	2101	158
930	2103	155
931	2105	153
932	2107	151
933	2109	149
934	2112	146
935	2114	144
936	2116	142
937	2119	140
938	2121	137
939	2123	135
940	2126	133
941	2129	131
942	2131	128
943	2133	126
944	2135	124
945	2137	122
946	2140	119
947	2142	117
948	2145	115
949	2147	113
950	2149	110
951	2154	108
952	2156	106
953	2159	104
954	2162	101
955	2165	99
956	2167	97
957	2170	95
958	2174	92
959	2177	90
960	2182	88
961	2186	86
962	2188	84
963	2191	81
964	2194	79
965	2196	77
966	2199	75
967	2202	72
968	2205	70
969	2207	68
970	2210	66
971	2213	63
972	2216	61
973	2219	59
974	2221	56
975	2224	54
976	2227	52
977	2230	50
978	2233	47
979	2235	45
980	2238	43
981	2241	41
982	2244	38
983	2246	36
984	2249	34
985	2251	31
986	2254	29
987	2257	27
988	2260	25
989	2262	22
990	2265	20
991	2267	18
992	2270	16
993	2274	13
994	2276	11
995	2278	9
996	2281	6
997	2283	4
998	2286	2
999	2289	0
